project,file_path,rule,n_alerts
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,No System Message (NSM),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/aliyun_bai_lian_model_provider/model/omni_stt.py,Unbounded Max Metrics (UMM),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/local_model_provider/model/reranker.py,No Model Version Pinning (NMVP),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/embedding.py,LLM Temperature Not Explicitly Set(TNES),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/embedding.py,Unbounded Max Metrics (UMM),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/stt.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/tti.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/openai_model_provider/model/tts.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/regolo_model_provider/model/tti.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/stt.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/tti.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/siliconCloud_model_provider/model/tts.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/vllm_model_provider/model/whisper_sst.py,LLM Temperature Not Explicitly Set(TNES),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/wenxin_model_provider/model/embedding.py,LLM Temperature Not Explicitly Set(TNES),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/wenxin_model_provider/model/embedding.py,Unbounded Max Metrics (UMM),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/stt.py,LLM Temperature Not Explicitly Set(TNES),2
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/tti.py,LLM Temperature Not Explicitly Set(TNES),1
1Panel-dev__MaxKB,/Users/bramss/Desktop/Extracted_Repo/1Panel-dev__MaxKB/apps/models_provider/impl/xinference_model_provider/model/tts.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/anthropic/run.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,LLM Temperature Not Explicitly Set(TNES),3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,No Model Version Pinning (NMVP),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,No Structured Output (NSO),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,No System Message (NSM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/asyncio-benchmarks/run.py,Unbounded Max Metrics (UMM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/auto-ticketer/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,No Structured Output (NSO),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,No System Message (NSM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/automodel/run.py,Unbounded Max Metrics (UMM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/avail/run_mixtral.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run-cache.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/batch-classification/run_langsmith.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,LLM Temperature Not Explicitly Set(TNES),3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,No Model Version Pinning (NMVP),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,No Structured Output (NSO),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,No System Message (NSM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_diskcache.py,Unbounded Max Metrics (UMM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/example_redis.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/lru.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,LLM Temperature Not Explicitly Set(TNES),8
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,No Model Version Pinning (NMVP),7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,No Structured Output (NSO),7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,No System Message (NSM),7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching/run.py,Unbounded Max Metrics (UMM),7
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/caching_prototype/run_real.py,LLM Temperature Not Explicitly Set(TNES),6
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,LLM Temperature Not Explicitly Set(TNES),3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,No Model Version Pinning (NMVP),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,No Structured Output (NSO),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/chain_of_density.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/chain-of-density/finetune.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/citation_fuzzy_match.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citation_with_extraction/main.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,LLM Temperature Not Explicitly Set(TNES),3
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,No Model Version Pinning (NMVP),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,No Structured Output (NSO),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,No System Message (NSM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/citations/run.py,Unbounded Max Metrics (UMM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/classifiy_with_validation.py,Unbounded Max Metrics (UMM),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/multi_prediction.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/simple_prediction.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/simple_prediction.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/simple_prediction.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/simple_prediction.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/classification/simple_prediction.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/codegen-from-schema/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/codegen-from-schema/run.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/codegen-from-schema/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/cohere/cohere.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/cohere/cohere.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/cohere/cohere.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/crm/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/crm/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/crm/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/crm/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/decimals/run.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/decimals/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/decimals/run.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/decimals/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/distilations/three_digit_mul_dispatch.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_langsmith.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_langsmith.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_langsmith.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_langsmith.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_org.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_org_table.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_org_table.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_org_table.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_org_table.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_receipt.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_receipt.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_receipt.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/run_vision_receipt.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extract-table/test.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extracting-pii/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extracting-pii/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extracting-pii/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/extracting-pii/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/fizzbuzz/run.py,LLM Temperature Not Explicitly Set(TNES),2
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/fizzbuzz/run.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/fizzbuzz/run.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/fizzbuzz/run.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/fizzbuzz/run.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/generate.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/generate.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/generate.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/refactor.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/refactor.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/gpt-engineer/refactor.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example.py,No Model Version Pinning (NMVP),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example.py,No Structured Output (NSO),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example.py,No System Message (NSM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example.py,Unbounded Max Metrics (UMM),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example2.py,LLM Temperature Not Explicitly Set(TNES),1
567-labs__instructor,/Users/bramss/Desktop/Extracted_Repo/567-labs__instructor/examples/groq/groq_example2.py,No Model Version Pinning (NMVP),1
